 11952.0660   8364.4651    7.543   27591  5    19227  6    27.2   I      
 11947.7982   8367.4529   35.700                           21.2          
 11946.6122   8368.2836     .643   28934  3    20566  4    26.3   I      
 11945.3595   8369.1612   29.477   26380  5    18011  5    26.7   I      
 11942.1269   8371.4266   12.453   23990  2    15618  3    26.5   I      
 11940.6376   8372.4707   27.840    2869  3    11241  3    26.5   I      
 11925.2044   8383.3061     .506   27971  5    19588  5    25.5   I      
 11916.5837   8389.3707    2.313   30552  4    22163  4    27.7   I      
 11911.5077   8392.9458    1.572   10855  7\2  19248  5\2  27.2   II     
 11909.8592   8394.1075     .583   28342  5    19948  4    26.4   I      
 11904.7922   8397.6802     .488   19273  2    27670  3    27.1   I      
 11899.8350   8401.1785    3.286   13847  2    22248  2    27.3   I      
 11894.9435   8404.6333    1.343   12847  3    21252  2    27.5   I      
 11888.8248   8408.9588     .394   31715  6    23306  6    29.1   I      
 11887.3535   8409.9996     .455   28358  3    19948  4    27.3   I      
 11886.0815   8410.8996     .938   30552  4    22141  3     2.6   I      
 11884.5306   8411.9972    8.522   11802  2    20214  3    27.4   I      
 11882.7731   8413.2413    1.105   24032  4    15618  3    27.7   I      
 11878.6089   8416.1907     .794   19532  4    27948  4    27.6   I      
 11874.6222   8419.0163    1.514   30758  2    22338  3    26.5   I      
 11874.2050   8419.3121     .966   12570  7\2  20989  9\2  27.6   II     
 11873.8565   8419.5592    1.622   21594  3    13175  4    26.3   I      
 11870.6306   8421.8472     .475   25923  4    17501  5    27.3   I      
 11868.3671   8423.4534    3.084   33603  6    25180  7    27.0   I      
 11865.6400   8425.3894    3.056   15305  9\2  23730  9\2  26.6   II     
 11864.2472   8426.3785   21.874    3687  2    12114  2    26.7   I      
 11862.5916   8427.5545     .415   33408  3    24981  3    29.1   I      
 11862.1948   8427.8364     .607   19713  3    28140  4    26.6   I      
 11858.3820   8430.5462    7.124   22637  3    14206  4    27.1   I      
 11853.0981   8434.3044     .339   13962  1    22396  1    28.3   I      
 11848.3096   8437.7131     .376   32041  2    23603  2    26.7   I      
 11839.6861   8443.8587     .577   15863  2    24307  2    27.2   I      
 11837.1813   8445.6455    1.221   28034  5    19588  5    26.4   I      
 11834.9372   8447.2469     .688   24664  3    16217  2    27.7   I      
 11829.7341   8450.9623    4.121   15970  3    24421  3    26.4   I      
 11829.6382   8451.0308    9.987   13088  3    21539  4    27.0   I      
 11827.5807   8452.5009    2.445   17073  1    25526  1    27.7   I      
 11824.9054   8454.4132     .641   24671  2    16217  2    27.4   I      
 11822.6360   8456.0361    5.344   28273  2    19817  1    26.3   I      
 11821.8384   8456.6066     .600   30964  3    22508  2    28.0   I      
 11818.5458   8458.9626     .715   28882  2    20423  1    26.8   I      
 11811.9240   8463.7047    1.006   27980  3    19516  2    27.4   I      
 11807.3123   8467.0104    9.126   10542  4    19009  5    26.5   III    
 11804.6176   8468.9432   13.351    5563  1    14032  2    27.3   I      
 11804.1114   8469.3064    2.834   30372  6    21903  7    27.2   I      
 11802.1086   8470.7436     .441   21645  4    13175  4    27.9   I      
 11793.0640   8477.2402     .418   32737  5    24259  4    26.5   I      
 11792.6439   8477.5422     .734   27980  3    19503  3    27.7   I      
 11790.3801   8479.1699     .421   25890  2    17411  3    30.0   I      
 11779.5270   8486.9822     .721   16351  0    24838  1    26.4   I      
 11777.1203   8488.7165     .305                           27.3          
 11776.4136   8489.2259    3.694   17727 11\2   9238  9\2  27.4   II     
 11775.1672   8490.1245    5.360   19273  2    10783  2    26.8   I      
 11772.6926   8491.9091     .375   32012  4    23521  3    27.5   I      
